見積書（Espressif ESP32-WROOM-32E版）
作成日,2025年10月8日

項番,数量,リファレンス,部品名,メーカー,説明,単価(円),小計(円)
1,1,CN1,5077CR-16-SMC2-BK-TR,Neltron,USB Type-Cコネクタ（microUSB→Type-C変更）,110,110
2,4,"CN4,CN5,CN6,CN7",5077CR-16-SMC2-BK-TR,Neltron,USB Type-Cジャック（PJ1-023→Type-C変更）,110,440
3,3,"C1,C5,C6",CL05A106MP5NUNC,Samsung,チップコンデンサ 10uF/10V 1005,10,30
4,2,"C2,C13",GRM033R61C104KE14,村田製作所,チップコンデンサ 0.1uF/16V 0603,5,10
5,3,"C7,C8,C9",GRM188R60J476ME15D,村田製作所,チップコンデンサ 47uF/6.3V 1608,15,45
6,1,C10,GRM32ER61A107ME20K,村田製作所,チップコンデンサ 100uF/10V 3225,30,30
7,1,C11,CGA2B1X7S1C334M050BC,TDK,チップコンデンサ 330nF/16V 1005,10,10
8,1,C12,GRM033R61A105ME15D,村田製作所,チップコンデンサ 1.0uF/10V 0603,5,5
9,1,D1,SMLP13BC8TT86,Rohm,チップLED青 1005,15,15
10,1,D2,SML-P12DTT86R,Rohm,チップLED橙 1005,15,15
11,1,D3,SML-P11MTT86,Rohm,チップLED緑 1005,15,15
12,4,"D7,D8,D9,D10",1N4148WX-TP,Micro Commercial,ダイオード,5,20
13,1,D11,APDA3020LZGCK,Kingbright,チップLED緑 サイドビュー,20,20
14,1,L1,XFL4020-102MEB,Coilcraft,コイル 1uH,50,50
15,2,"L2,L3",BLM18AG102SN1D,村田製作所,チップビーズ 1608,5,10
16,4,"Q1,Q2,Q3,Q4",FDV305N,ON Semiconductor,N-ch MOSFET,30,120
17,8,"R1,R10,R19,R23,R25,R27,R29,R34",ERJ-1GNF1002C,Panasonic,チップ抵抗 10kΩ 0603,2,16
18,4,"R2,R3,R4,R32",ERJ-2RKF5600X,Panasonic,チップ抵抗 560Ω 1005,2,8
19,1,R11,ERJ-1GNF5603C,Panasonic,チップ抵抗 560kΩ 0603,2,2
20,1,R12,ERJ-1GNF1803C,Panasonic,チップ抵抗 180kΩ 0603,2,2
21,1,R13,ERJ-1GNF1001C,Panasonic,チップ抵抗 1kΩ 0603,2,2
22,1,R14,ERJ-1GNF1004C,Panasonic,チップ抵抗 1MΩ 0603,2,2
23,1,R15,ERJ-1GNF3903C,Panasonic,チップ抵抗 390kΩ 0603,2,2
24,4,"R17,R21,R31,R33",RK73Z1ETTP,KOA,チップ抵抗 0Ω 1005,2,8
25,1,R18,ERJ-1GNF6801C,Panasonic,チップ抵抗 6.8kΩ 0603,2,2
26,4,"R22,R24,R26,R28",ERJ-1GNF1000C,Panasonic,チップ抵抗 100Ω 0603,2,8
27,10,R35-R44,ERJ-1GNF5101C,Panasonic,チップ抵抗 5.1kΩ 0603（Type-C用CC端子×5コネクタ）,2,20
28,1,S1,SKHUBHE010,アルプスアルパイン,プッシュボタン DIP,30,30
29,1,S2,CHS-06A,コパル電子,DIPスイッチ,50,50
30,1,S3,SKSGACE010,アルプスアルパイン,プッシュボタン SMD,30,30
31,1,U3,TPS630250RNCT,TI,DC-DCコンバータ,200,200
32,1,U4,LTC2955IDDB_1#TRMPBF,Analog Devices,電源モニタIC,300,300
33,1,U5,TPS22919DCKT,TI,ロードスイッチ,100,100
34B,1,U1,ESP32-WROOM-32E-N16,Espressif,Wi-Fi + Bluetooth 4.2モジュール,800,800
35,1,-,PCB 4層基板,-,4層プリント基板,1500,1500

,,,,,合計,,4027

備考
・CN1: microUSB → USB Type-C（5077CR-16-SMC2-BK-TR）に変更
・CN4-CN7: DCジャック → USB Type-C（5077CR-16-SMC2-BK-TR）に変更
・U1: EYSHCNZXZ（廃番）→ ESP32-WROOM-32E-N16（Espressif）に変更
・Type-C用CC端子プルダウン抵抗（5.1kΩ×10）追加
・基板: 4層基板 @1500円
・注意: ESP32はファームウェア全面書き換えが必要
